Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Exports of goods and services (BoP_ current US$),BX.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1747931294.99513,2237910332.71326,2514540065.93107,3195877090.18539,1988425263.69382,1537631247.5403,1861532101.80461,..
Afghanistan,AFG,Current account balance (BoP_ current US$),BN.CAB.XOKA.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1022813072.00655,-857658425.14555,-1650256784.75965,-2801337597.59586,-5752909768.62635,-5047060789.8011,-4017732018.1998,..
Afghanistan,AFG,Exports of goods_ services and primary income (BoP_ current US$),BX.GSR.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1887659775.82599,2340244105.7811,2681812403.66868,3339395936.59752,2161337813.57507,1743396749.83111,2106225220.94714,..
Afghanistan,AFG,Imports of goods_ services and primary income (BoP_ current US$),BM.GSR.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3986733075.35867,4481739218.53359,6198157669.3345,7926272544.75844,10359201198.419,9631402496.98806,8775741080.7471,..
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,2461666314.78366,4119883741.16169,4576560550.78155,5293545038.97191,6286220881.04141,7100902255.45835,9873622504.18019,10233530169.0551,12540852406.0002,15998801042.3649,18013243281.8382,21571852491.1142,21959373606.0654,20709215548.8396,..
Afghanistan,AFG,GNI (constant 2005 US$),NY.GNP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6286220881.04141,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,257.6325523744,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-7.1961939032,1.1089749231,-4.9333099856,-11.0560750525,0.128561725,-4.6566655342,-4.6297474613,..
Afghanistan,AFG,Total reserves (includes gold_ current US$),FI.RES.TOTL.CD,576118910.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3042274496.11725,4265888672.74832,5162440197.79369,6344642495.25739,7152304411.66686,7288702808.98632,7528550402.40523,..
Albania,ALB,Exports of goods and services (BoP_ current US$),BX.GSR.GNFS.CD,82200000,90300000,189200000,220400000,303700000,372900000,99380000,137130000,389500000,554500000,658200000,667180000,846770660.904754,1249817713.79305,1460772256.90119,1869568360.54437,2464394201.34943,3278258630.19517,3061482905.20847,3324087579.04386,3776518510.1419,3557580632.34506,3676663746.83843,3733345020.35698,..
