Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.4642574787,-1.4445164204,-1.590514183,-1.6371687651,-1.5132791996,-1.624465704,-1.5496551991,-1.4115658998,-1.4301185608,-1.331163168
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,4,6,5,6,7,8,8,9,10,10
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,1.463414669,3.4146342278,0.9708737731,0.9708737731,0.9569377899,0.9523809552,1.421800971,1.9138755798,1.9138755798,6.25
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,0,0.4854368865,0,0,0,0,0,0,0,0.9569377899
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,13.5922327042,10.6796112061,8.6956520081,5.7971014977,9.523809433,5.2132701874,7.5471696854,12.8571424484,11.428571701,13.8755979538
Afghanistan,AFG,Control of Corruption: Standard Error,CC.STD.ERR,0.2249478549,0.2210963517,0.2523109019,0.2438940257,0.2165366113,0.209650293,0.2048622221,0.1978403032,0.1690963209,0.17309165
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.2269781828,-1.48808074,-1.4031432867,-1.4784978628,-1.4994659424,-1.4655714035,-1.4576836824,-1.3975580931,-1.4281387329,-1.3441206217
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,4,6,5,6,7,7,7,8,8,8
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,9.7560977936,4.3902440071,5.339805603,3.8834950924,3.8277511597,4.3062200546,4.7393364906,6.6985645294,6.6985645294,8.1730766296
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,2.4271845818,0.4854368865,0.9661836028,0.9661836028,0.4761904776,0.9523809552,1.4150943756,0.9523809552,0.9523809552,1.9138755798
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,21.8446598053,13.5922327042,16.4251213074,14.4927539825,10.952381134,13.8095235825,14.1509437561,15.2380952835,13.8095235825,16.7464122772
Afghanistan,AFG,Government Effectiveness: Standard Error,GE.STD.ERR,0.2283274382,0.2388557941,0.2939869761,0.2586185038,0.2375215888,0.2314837575,0.2329058498,0.2196243405,0.2094166875,0.2313312292
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.0884218216,-2.2310943604,-2.3962874413,-2.6893529892,-2.704449892,-2.549819231,-2.4831252098,-2.392416954,-2.5038115978,-2.4580669403
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,4,4,3,3,4,4,4,5,6,6
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,2.4038462639,1.4423077106,1.4423077106,0.478468895,0.4739336371,1.4150943756,1.4150943756,1.8957345486,1.421800971,2.9126212597
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,0.9569377899,0.9569377899,0.478468895,0.4761904776,0.4716981053,0.4694835544,0.4694835544,0.4716981053,0,0
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,6.6985645294,7.1770334244,5.7416267395,2.3809523582,2.3584904671,3.7558684349,2.8169014454,4.2452831268,3.7735848427,5.7971014977
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.3106999397,0.2900380194,0.321341455,0.3203681111,0.2900592685,0.282525897,0.2736065686,0.2474263906,0.2446962893,0.221862942
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.6461383104,-1.6740500927,-1.6809171438,-1.6010034084,-1.6701339483,-1.5292584896,-1.5398015976,-1.2100083828,-1.2125753164,-1.1269505024
Afghanistan,AFG,Regulatory Quality: Number of Sources,RQ.NO.SRC,4,5,4,5,6,6,6,8,9,9
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,2.9411764145,2.9411764145,2.9126212597,3.398058176,3.3492822647,5.2631578445,4.2654027939,11.004784584,11.004784584,11.5384616852
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,1.9512195587,2.4390244484,2.8985507488,2.8985507488,2.8571429253,2.8571429253,2.8301887512,5.2380952835,5.7142858505,5.7416267395
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,9.7560977936,8.7804880142,8.6956520081,8.2125606537,6.1904764175,8.571428299,9.4339618683,21.428571701,20.952381134,23.9234447479
Afghanistan,AFG,Regulatory Quality: Standard Error,RQ.STD.ERR,0.2042803317,0.2170635164,0.2356316149,0.2057515383,0.1892541051,0.1856008619,0.1837171465,0.1836003512,0.1758043319,0.1910105646
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.7229924202,-1.9557250738,-1.9243583679,-1.9468359947,-1.9089010954,-1.9010930061,-1.9346328974,-1.7230300903,-1.671192646,-1.5337554216
Afghanistan,AFG,Rule of Law: Number of Sources,RL.NO.SRC,6,8,7,8,9,9,9,10,11,10
Afghanistan,AFG,Rule of Law: Percentile Rank,RL.PER.RNK,1.4354066849,0.478468895,0.478468895,0.480769217,0.4739336371,0.4739336371,0.4694835544,0.4739336371,1.421800971,2.4038462639
Afghanistan,AFG,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,0.4761904776,0.4761904776,0.4761904776,0.478468895,0.4716981053,0.4716981053,0.467289716,0.4716981053,0.4716981053,0.9569377899
Afghanistan,AFG,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,7.6190476418,1.9047619104,3.8095238209,2.8708133698,2.3584904671,2.8301887512,1.869158864,3.7735848427,5.1886792183,7.6555023193
Afghanistan,AFG,Rule of Law: Standard Error,RL.STD.ERR,0.2137680352,0.2029610425,0.2552920878,0.2245182842,0.184653759,0.1825789511,0.1726305485,0.167596221,0.1582601517,0.1755194068
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.1791650057,-1.1908478737,-1.1246182919,-1.2360956669,-1.4604512453,-1.4815815687,-1.4042466879,-1.3193789721,-1.2882543802,-1.161955595
Afghanistan,AFG,Voice and Accountability: Number of Sources,VA.NO.SRC,7,8,9,9,9,9,9,10,11,9
Afghanistan,AFG,Voice and Accountability: Percentile Rank,VA.PER.RNK,13.4615383148,13.9423074722,16.3461532593,13.4615383148,8.5308055878,7.5829381943,9.3896713257,11.3744077682,13.2701425552,15.7635469437
Afghanistan,AFG,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,8.1339712143,8.6124401093,9.5693778992,8.1339712143,4.2452831268,4.2452831268,4.6728973389,6.6037735939,7.0754718781,9.8039216995
Afghanistan,AFG,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,23.4449768066,21.5311012268,24.4019145966,20.0956935883,13.2075471878,13.6792449951,14.0186920166,16.5094337463,16.9811325073,22.5490188599
Afghanistan,AFG,Voice and Accountability: Standard Error,VA.STD.ERR,0.1893079579,0.1577810198,0.1523742825,0.1511549503,0.1539452672,0.1487242579,0.1482621431,0.1370263845,0.1243885159,0.1364822388
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.7466643453,-0.805980444,-0.6591640711,-0.5454194546,-0.4932783246,-0.4885777533,-0.6473411322,-0.7235477567,-0.716902256,-0.55289042
Albania,ALB,Control of Corruption: Number of Sources,CC.NO.SRC,9,11,11,11,11,11,12,12,11,11
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,26.341463089,22.4390239716,29.6116504669,34.9514579773,37.799041748,36.6666679382,28.4360198975,26.7942581177,26.3157901764,35.5769233704
Albania,ALB,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,15.5339803696,12.1359224319,18.8405799866,23.1884059906,25.2380943298,27.4881515503,20.2830181122,19.047618866,17.6190471649,24.8803825378
Albania,ALB,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,38.3495140076,34.9514579773,41.0628013611,46.8599052429,50.952381134,49.7630348206,40.0943412781,38.0952377319,38.5714302063,47.3684196472
Albania,ALB,Control of Corruption: Standard Error,CC.STD.ERR,0.1519394368,0.1528989077,0.1529861093,0.1421460509,0.1493940353,0.1374791712,0.1338134557,0.1274772286,0.1327259094,0.1371545196
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.6272557378,-0.4563621581,-0.3778320551,-0.3471868038,-0.2389934361,-0.2714275122,-0.201513648,-0.2803274989,-0.3331880271,-0.0706450567
Albania,ALB,Government Effectiveness: Number of Sources,GE.NO.SRC,7,9,9,9,9,9,9,9,9,9
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,31.2195129395,39.0243911743,42.2330093384,44.1747589111,48.3253593445,45.4545440674,47.8672981262,44.9760780334,43.5406684875,51.9230766296
Albania,ALB,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,16.9902915955,26.6990299225,26.5700473785,28.9855079651,36.6666679382,32.3809509277,37.2641525269,31.428571701,30,37.3205757141
Albania,ALB,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,45.1456298828,50.9708747864,52.6570053101,55.555557251,57.6190490723,57.1428565979,60.3773574829,57.6190490723,55.2380943298,63.6363639832
Albania,ALB,Government Effectiveness: Standard Error,GE.STD.ERR,0.1965112388,0.1849713922,0.2009999454,0.2021977454,0.2029021084,0.2048436254,0.2026934922,0.2024334073,0.1995337903,0.2145267725
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.493627429,-0.4850853384,-0.1981429011,-0.0331167318,-0.051232554,-0.1913142353,-0.2885557413,-0.1580438614,0.0549472086,0.47325477
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,5,6,6,6,6,6,7,8,8,8
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,29.3269233704,29.8076915741,37.9807701111,43.0622024536,42.6540298462,39.6226425171,38.2075462341,40.2843589783,48.8151664734,61.6504859924
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,18.1818180084,18.6602878571,24.8803825378,30,29.7169818878,26.2910804749,24.8826293945,29.2452831268,36.7924537659,52.6570053101
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,46.4114837646,44.0191383362,53.1100463867,58.0952377319,57.5471687317,53.5211257935,50.7042236328,53.3018875122,61.3207550049,75.3623199463
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.302105397,0.2710821033,0.2646419406,0.2638005316,0.2595420778,0.2584043145,0.2491225153,0.2230043262,0.2256100625,0.2047988027
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,-0.2996414602,-0.0940495878,0.0699380189,0.1455979496,0.2476480007,0.2322265953,0.2352042794,0.1679656059,0.1752726436,0.2252274305
Albania,ALB,Regulatory Quality: Number of Sources,RQ.NO.SRC,9,10,10,10,10,10,11,11,11,11
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,45.5882339478,51.4705886841,55.8252410889,55.339805603,58.3732070923,56.9377975464,56.8720397949,56.4593315125,57.416267395,60.5769233704
Albania,ALB,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,26.8292675018,40.4878044128,47.8260879517,51.2077293396,52.8571434021,52.3809509277,52.8301887512,48.5714302063,48.5714302063,50.7177047729
Albania,ALB,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,54.1463432312,57.5609741211,62.8019332886,63.2850227356,68.0952377319,68.5714263916,69.3396224976,66.6666641235,67.1428604126,68.899520874
Albania,ALB,Regulatory Quality: Standard Error,RQ.STD.ERR,0.1757979393,0.1764225364,0.1768725812,0.1757950038,0.1678097397,0.1638286114,0.1575876921,0.1717823893,0.1734297872,0.1796761453
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.8054660559,-0.7303645611,-0.6989210844,-0.6366279125,-0.5325828791,-0.4357594848,-0.4853326082,-0.5693083405,-0.5741203427,-0.3706062436
Albania,ALB,Rule of Law: Number of Sources,RL.NO.SRC,11,13,13,13,13,14,15,15,14,13
Albania,ALB,Rule of Law: Percentile Rank,RL.PER.RNK,25.8373203278,27.7511959076,27.7511959076,32.6923065186,36.4928894043,40.7582931519,38.4976539612,34.5971565247,35.5450248718,40.8653831482
Albania,ALB,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,14.2857141495,17.1428565979,18.0952377319,20.5741634369,25.471698761,30.6603775024,29.9065418243,26.8867931366,24.528301239,32.0574150085
Albania,ALB,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,36.6666679382,40,41.4285697937,41.6267929077,45.7547187805,48.5849075317,47.6635513306,44.8113212585,43.8679237366,52.1531105042
Albania,ALB,Rule of Law: Standard Error,RL.STD.ERR,0.1768324673,0.1531628072,0.1530664265,0.1490880251,0.1415635496,0.1351843923,0.1277771741,0.1251089424,0.1281448454,0.1354410052
Albania,ALB,Voice and Accountability: Estimate,VA.EST,0.0324104354,0.0541779324,0.0930522829,0.1593774706,0.1265989095,0.1120576113,0.0502851047,-0.0024668518,0.0387080014,0.1635762453
Albania,ALB,Voice and Accountability: Number of Sources,VA.NO.SRC,10,12,12,12,12,13,14,14,13,11
Albania,ALB,Voice and Accountability: Percentile Rank,VA.PER.RNK,52.8846168518,49.5192298889,51.4423065186,53.8461532593,53.5545005798,53.5545005798,51.6431922913,50.2369651794,51.1848335266,54.6798019409
Albania,ALB,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,39.7129173279,42.583732605,44.9760780334,46.4114837646,44.8113212585,45.7547187805,43.4579429626,42.4528312683,43.3962249756,48.0392150879
Albania,ALB,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,59.3301429749,56.4593315125,56.9377975464,58.8516731262,58.0188674927,58.0188674927,56.0747680664,56.1320762634,56.1320762634,59.8039207458
Albania,ALB,Voice and Accountability: Standard Error,VA.STD.ERR,0.1760775447,0.1395300776,0.1392119974,0.1393272877,0.1415142268,0.1342645884,0.1294877678,0.1194217578,0.1188599691,0.1277438998
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.4221751988,-0.4860242903,-0.5155217052,-0.5617622733,-0.5465089679,-0.4878051579,-0.4955863953,-0.4756286144,-0.4671038687,-0.6144512892
Algeria,DZA,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,10,11,11,11,12,13,13,12
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,41.4634132385,37.5609741211,36.4077682495,34.4660186768,34.449760437,37.1428565979,37.4407577515,39.2344512939,39.7129173279,31.7307701111
Algeria,DZA,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,28.6407775879,24.2718448639,22.2222213745,21.2560386658,21.9047622681,23.2227497101,23.5849056244,25.7142848969,25.7142848969,19.617225647
Algeria,DZA,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,51.9417457581,51.4563102722,51.2077293396,48.3091773987,50.952381134,53.0805702209,52.3584899902,52.3809509277,52.3809509277,46.4114837646
Algeria,DZA,Control of Corruption: Standard Error,CC.STD.ERR,0.1784417182,0.1609229743,0.1638088077,0.1624289602,0.1764421761,0.1737358719,0.1623757631,0.1597756147,0.1589653641,0.1588186026
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.4373656213,-0.5221320987,-0.6028427482,-0.6118150949,-0.5782845616,-0.4764436483,-0.5730738044,-0.5471286774,-0.5649204254,-0.5118632317
