Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Birth rate_ crude (per 1_000 people),SP.DYN.CBRT.IN,48.896,48.834,48.839,48.898,48.978,49.039,49.036,48.93,48.699,48.332,47.835,47.23,46.538,45.761,44.887,43.893,42.779,41.56,40.265,38.94,37.636,36.396,35.253,34.225,..
Afghanistan,AFG,Health expenditure per capita (current US$),SH.XPD.PCAP,..,..,..,..,..,..,..,..,..,..,..,15.48190406,19.33236793,20.89000224,22.55305774,24.3644271,30.50597031,35.22608287,43.52543981,52.8857608,52.38254929,58.16803071,53.36597308,56.57452735,..
Afghanistan,AFG,Health expenditure_ total (% of GDP),SH.XPD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,7.76307316,8.81605343,8.78670722,8.31028776,8.16559739,7.60510651,8.67813823,9.41897064,9.19772273,7.87199189,8.51891268,8.13486556,8.18227382,..
Afghanistan,AFG,Life expectancy at birth_ male (years),SP.DYN.LE00.MA.IN,49.66,50.36,50.997,51.568,52.075,52.524,52.931,53.312,53.678,54.041,54.409,54.785,55.167,55.559,55.957,56.355,56.747,57.126,57.491,57.844,58.186,58.524,58.859,59.193,..
Afghanistan,AFG,Life expectancy at birth_ total (years),SP.DYN.LE00.IN,50.6409756098,51.3629268293,52.0218780488,52.6143414634,53.1393902439,53.6020487805,54.0178292683,54.4027317073,54.7672682927,55.1258780488,55.4875365854,55.857195122,56.2352926829,56.6263170732,57.0272439024,57.4325609756,57.8338292683,58.2250243902,58.6036829268,58.9708292683,59.3279512195,59.6796097561,60.0282682927,60.3744634146,..
Afghanistan,AFG,Life expectancy at birth_ female (years),SP.DYN.LE00.FE.IN,51.671,52.416,53.098,53.713,54.257,54.734,55.159,55.548,55.911,56.265,56.62,56.983,57.357,57.747,58.151,58.564,58.975,59.379,59.772,60.154,60.527,60.893,61.256,61.615,..
Afghanistan,AFG,Tuberculosis case detection rate (%_ all forms),SH.TBS.DTEC.ZS,95,..,..,..,..,..,3.8,8.8,9.2,19,26,34,32,41,47,54,59,56,51,53,51,51,53,53,..
Afghanistan,AFG,Population_ total,SP.POP.TOTL,12789374,13745630,14824371,15869967,16772522,17481800,18034130,18511480,19038420,19701940,20531160,21487079,22507368,23499850,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803,30682500,31627506,..
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,5.8092980665,7.2106285511,7.5551560237,6.8155939488,5.5313496984,4.1418387629,3.1105733903,2.6125006511,2.8067962557,3.4258065326,4.1226624061,4.5508045617,4.6390944541,4.3151315879,3.7586962998,3.1612583485,2.7181980959,2.485314572,2.525627754,2.7368859589,2.9839786665,3.1355461644,3.1643362739,3.0334725525,..
Afghanistan,AFG,Physicians (per 1_000 people),SH.MED.PHYS.ZS,..,..,0.1428000033,..,..,..,0.11,..,..,..,0.186,..,..,..,0.2,0.136,0.146,0.145,0.175,0.194,0.234,0.225,0.266,..,..
Afghanistan,AFG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,21.2,21.3,21.4,21.4,21.5,23.3,25,26.8,28.5,30.3,32,33.8,35.5,37.3,39.1,40.8,42.6,44.4,46.2,48,49.8,51.6,53.4,55.2,55.3
Afghanistan,AFG,Immunization_ measles (% of children ages 12-23 months),SH.IMM.MEAS,19,22,25,40,41,42,38,31,31,27,37,35,39,48,50,53,55,59,60,62,64,59,60,66,..
Afghanistan,AFG,Health expenditure per capita_ PPP (constant 2011 international $),SH.XPD.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,75.98351391,89.44017773,87.52090345,90.97428974,95.40408553,100.27235586,116.14810318,148.00120214,153.44620572,141.0557326,160.36802664,156.52934858,166.51672658,..
Albania,ALB,Birth rate_ crude (per 1_000 people),SP.DYN.CBRT.IN,24.173,23.464,22.686,21.854,20.98,20.075,19.15,18.22,17.302,16.401,15.513,14.642,13.806,13.036,12.383,11.906,11.631,11.561,11.679,11.952,12.325,12.73,13.106,13.414,..
Albania,ALB,Health expenditure per capita (current US$),SH.XPD.PCAP,..,..,..,..,51.48380136,72.42532839,52.94161894,61.25168194,75.95312403,74.02882494,78.66819861,89.9161553,112.63011779,153.26255007,166.22792891,175.46111256,216.94308134,254.735035,238.07097947,219.27385748,255.2555999,239.51286789,253.3418956,272.20429151,..
Albania,ALB,Health expenditure_ total (% of GDP),SH.XPD.TOTL.ZS,..,..,..,..,6.59707903,7.43197435,7.56809993,6.94329921,6.86818989,6.2559844,6.00014389,6.30011348,6.26700723,6.37953469,6.11631076,5.86129625,6.10393525,5.86941616,5.79133946,5.33503501,5.71466526,5.58917285,5.65513948,5.88310543,..
Albania,ALB,Life expectancy at birth_ male (years),SP.DYN.LE00.MA.IN,69.015,68.993,69.03,69.14,69.337,69.624,69.982,70.39,70.829,71.273,71.695,72.079,72.415,72.7,72.946,73.171,73.402,73.655,73.935,74.235,74.544,74.843,75.119,75.369,..
Albania,ALB,Life expectancy at birth_ total (years),SP.DYN.LE00.IN,71.9184146341,71.900804878,71.9358536585,72.0419512195,72.2360243902,72.5274146341,72.898097561,73.3265853659,73.7933902439,74.2715365854,74.7325609756,75.1546097561,75.5232926829,75.8312195122,76.0816097561,76.2861219512,76.4702926829,76.6520731707,76.8403658537,77.0369512195,77.2405853659,77.4439756098,77.6404634146,77.8304634146,..
Albania,ALB,Life expectancy at birth_ female (years),SP.DYN.LE00.FE.IN,74.967,74.954,74.987,75.089,75.28,75.576,75.96,76.41,76.906,77.42,77.922,78.384,78.787,79.119,79.374,79.557,79.692,79.799,79.891,79.979,80.072,80.175,80.288,80.415,..
Albania,ALB,Tuberculosis case detection rate (%_ all forms),SH.TBS.DTEC.ZS,79,..,..,92,85,98,87,86,86,85,85,84,84,84,84,84,85,86,87,88,88,89,89,75,..
Albania,ALB,Population_ total,SP.POP.TOTL,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900489,2897366,2894475,..
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.6028096795,-0.6064347262,-0.6101657927,-0.6138805069,-0.6177036584,-0.621511399,-0.6254300969,-0.6293343925,-0.633352274,-0.6373568339,-0.9384704277,-0.2998766971,-0.3741491693,-0.4179313779,-0.5117901164,-0.6309112449,-0.7557187554,-0.7673429591,-0.6738940465,-0.4964619634,-0.2833031075,-0.1478312471,-0.1077295069,-0.0998300969,..
Albania,ALB,Physicians (per 1_000 people),SH.MED.PHYS.ZS,1.4702999592,1.6500999928,1.4254000187,1.3153990507,1.306,1.354,1.295,1.289,1.282,1.389,..,1.305,..,..,..,1.15,1.146,..,1.144,1.132,1.113,1.145,1.145,..,..
Albania,ALB,Improved water source (% of population with access),SH.H2O.SAFE.ZS,..,..,..,95.7,95.7,95.7,95.8,95.8,95.9,96.1,96.2,96.1,96.1,96.1,96,96,95.9,95.8,95.7,95.6,95.5,95.4,95.2,95.1,95.1
Albania,ALB,Immunization_ measles (% of children ages 12-23 months),SH.IMM.MEAS,80,87,76,90,91,92,95,89,85,95,95,96,93,96,97,95,97,98,97,99,99,98,99,98,..
Albania,ALB,Health expenditure per capita_ PPP (constant 2011 international $),SH.XPD.PCAP.PP.KD,..,..,..,..,196.53778549,247.13767322,229.83007393,239.40639574,263.70931176,263.00226739,275.86678107,302.72911468,325.28224179,361.8436802,380.41578445,412.87709072,461.17078502,511.1042673,540.76887208,497.92833308,554.48411738,544.00617177,564.06596489,614.53594606,..
Algeria,DZA,Birth rate_ crude (per 1_000 people),SP.DYN.CBRT.IN,30.778,29.351,27.87,26.371,24.895,23.488,22.202,21.087,20.19,19.57,19.275,19.293,19.586,20.113,20.823,21.659,22.541,23.382,24.11,24.643,24.921,24.946,24.738,24.309,..
