Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Afghanistan,AFG,Population_ total,SP.POP.TOTL,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803,30682500,31627506
Afghanistan,AFG,Rural population,SP.RUR.TOTL,18813580,19331698,19773808,20176169,20592382,21058618,21585556,22155981,22744630,23315165
Afghanistan,AFG,Urban population,SP.URB.TOTL,5586368,5851917,6103736,6352572,6614909,6903589,7223611,7570822,7937870,8312341
Afghanistan,AFG,Labor force_ total,SL.TLF.TOTL.IN,6112379,6309366,6472005,6643829,6821411,7049139,7315166,7625167,7982593,..
Afghanistan,AFG,Labor force participation rate_ male (% of male population ages 15+) (modeled ILO estimate),SL.TLF.CACT.MA.ZS,80.6999969482,80.5999984741,80.5,80.4000015259,80.3000030518,80.0999984741,79.9000015259,79.6999969482,79.5,..
Afghanistan,AFG,Labor force participation rate_ female (% of female population ages 15+) (modeled ILO estimate),SL.TLF.CACT.FE.ZS,13.8999996185,14.1000003815,14.3999996185,14.6999998093,15,15.3999996185,15.6000003815,15.6999998093,15.8000001907,..
Afghanistan,AFG,Labor force participation rate_ total (% of total population ages 15+) (modeled ILO estimate),SL.TLF.CACT.ZS,47.7999992371,47.9000015259,47.9000015259,48,48,48.0999984741,48,47.9000015259,47.9000015259,..
Afghanistan,AFG,Literacy rate_ adult total (% of people ages 15 and above),SE.ADT.LITR.ZS,..,..,..,..,..,..,31.7411174774,..,..,..
Afghanistan,AFG,Life expectancy at birth_ female (years),SP.DYN.LE00.FE.IN,58.279,58.803,59.336,59.863,60.379,60.877,61.352,61.806,62.237,..
Afghanistan,AFG,Life expectancy at birth_ male (years),SP.DYN.LE00.MA.IN,55.896,56.397,56.906,57.411,57.906,58.384,58.84,59.274,59.688,..
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Population_ total,SP.POP.TOTL,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900489,2897366,2894475
Albania,ALB,Rural population,SP.RUR.TOTL,1604189,1561661,1517619,1473922,1432259,1393502,1358072,1324653,1292718,1261731
Albania,ALB,Urban population,SP.URB.TOTL,1407298,1430886,1452398,1473392,1495260,1519519,1546708,1575836,1604648,1632744
Albania,ALB,Labor force_ total,SL.TLF.TOTL.IN,1300764,1288396,1275913,1264937,1256141,1263474,1270680,1279685,1287020,..
Albania,ALB,Labor force participation rate_ male (% of male population ages 15+) (modeled ILO estimate),SL.TLF.CACT.MA.ZS,68.9000015259,67.8000030518,66.8000030518,66,65.1999969482,65.3000030518,65.3000030518,65.4000015259,65.5,..
Albania,ALB,Labor force participation rate_ female (% of female population ages 15+) (modeled ILO estimate),SL.TLF.CACT.FE.ZS,48.2999992371,47.5,46.7000007629,45.9000015259,45.2999992371,45.2000007629,45.0999984741,45,44.9000015259,..
Albania,ALB,Labor force participation rate_ total (% of total population ages 15+) (modeled ILO estimate),SL.TLF.CACT.ZS,58.5999984741,57.5999984741,56.7000007629,55.9000015259,55.2000007629,55.2000007629,55.0999984741,55.0999984741,55.0999984741,..
Albania,ALB,Literacy rate_ adult total (% of people ages 15 and above),SE.ADT.LITR.ZS,..,..,..,95.9386367798,..,..,96.8452987671,97.246963501,..,..
Albania,ALB,Life expectancy at birth_ female (years),SP.DYN.LE00.FE.IN,79.349,79.544,79.705,79.853,79.999,80.149,80.304,80.46,80.614,..
Albania,ALB,Life expectancy at birth_ male (years),SP.DYN.LE00.MA.IN,72.985,73.192,73.379,73.565,73.757,73.959,74.172,74.389,74.607,..
Albania,ALB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1722.0728497251,1218.3601460562,1213.1243693218,1617.7441562046,1837.3920032628,1947.4627886308,2195.0027196552,2118.2635066018,..,..
Algeria,DZA,Population_ total,SP.POP.TOTL,33267887,33749328,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334
Algeria,DZA,Rural population,SP.RUR.TOTL,12032995,11949625,11872458,11801993,11745606,11702382,11672743,11654894,11642953,11630075
Algeria,DZA,Urban population,SP.URB.TOTL,21234892,21799703,22389513,23009066,23656184,24333777,25044389,25784533,26543182,27304259
Algeria,DZA,Labor force_ total,SL.TLF.TOTL.IN,10122642,10342499,10575538,10774572,11017563,11308343,11569770,11842130,12088383,..
Algeria,DZA,Labor force participation rate_ male (% of male population ages 15+) (modeled ILO estimate),SL.TLF.CACT.MA.ZS,72.5,72,71.5,71.0999984741,70.6999969482,71.0999984741,71.5,71.9000015259,72.1999969482,..
Algeria,DZA,Labor force participation rate_ female (% of female population ages 15+) (modeled ILO estimate),SL.TLF.CACT.FE.ZS,12.8999996185,13.1999998093,13.6000003815,14,14.3999996185,14.6000003815,14.8000001907,15,15.1999998093,..
Algeria,DZA,Labor force participation rate_ total (% of total population ages 15+) (modeled ILO estimate),SL.TLF.CACT.ZS,42.9000015259,42.7999992371,42.7999992371,42.7000007629,42.7999992371,43.0999984741,43.4000015259,43.7000007629,43.9000015259,..
Algeria,DZA,Literacy rate_ adult total (% of people ages 15 and above),SE.ADT.LITR.ZS,..,72.6486816406,..,..,..,..,..,..,..,..
Algeria,DZA,Life expectancy at birth_ female (years),SP.DYN.LE00.FE.IN,71.451,71.61,71.765,71.92,72.074,72.229,72.382,72.534,72.683,..
Algeria,DZA,Life expectancy at birth_ male (years),SP.DYN.LE00.MA.IN,68.303,68.483,68.653,68.81,68.952,69.081,69.199,69.309,69.416,..
Algeria,DZA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,887.46243487,859.6615612613,891.8050861697,945.1019573981,864.6455447592,1014.9805366327,1121.628998692,1236.1300294473,..,..
American Samoa,ASM,Population_ total,SP.POP.TOTL,59117,58648,57904,57031,56226,55636,55316,55227,55302,55434
American Samoa,ASM,Rural population,SP.RUR.TOTL,7035,7038,7006,6958,6917,6902,6914,6951,7005,7060
American Samoa,ASM,Urban population,SP.URB.TOTL,52082,51610,50898,50073,49309,48734,48402,48276,48297,48374
