,Class,Country
0,2,Afghanistan
1,0,Albania
2,0,Algeria
3,0,American Samoa
4,0,Andorra
5,2,Angola
6,0,Antigua and Barbuda
7,0,Argentina
8,0,Armenia
9,0,Aruba
10,1,Australia
11,1,Austria
12,0,Azerbaijan
13,0,Bahrain
14,0,Bangladesh
15,0,Barbados
16,0,Belarus
17,1,Belgium
18,0,Belize
19,2,Benin
20,0,Bermuda
21,0,Bhutan
22,0,Bolivia
23,0,Bosnia and Herzegovina
24,0,Botswana
25,0,Brazil
26,0,Brunei Darussalam
27,0,Bulgaria
28,2,Burkina Faso
29,2,Burundi
30,0,Cabo Verde
31,2,Cambodia
32,2,Cameroon
33,1,Canada
34,0,Cayman Islands
35,2,Central African Republic
36,2,Chad
37,0,Chile
38,1,China
39,0,Colombia
40,2,Comoros
41,0,Costa Rica
42,2,Cote d'Ivoire
43,0,Croatia
44,0,Cuba
45,0,Cyprus
46,0,Czech Republic
47,1,Denmark
48,0,Djibouti
49,0,Dominica
50,0,Dominican Republic
51,0,Ecuador
52,0,El Salvador
53,2,Equatorial Guinea
54,2,Eritrea
55,0,Estonia
56,2,Ethiopia
57,0,Fiji
58,1,Finland
59,1,France
60,2,Gabon
61,0,Georgia
62,1,Germany
63,2,Ghana
64,0,Greece
65,0,Greenland
66,0,Grenada
67,0,Guam
68,2,Guatemala
69,2,Guinea
70,2,Guinea-Bissau
71,0,Guyana
72,2,Haiti
73,0,Honduras
74,0,Hungary
75,0,Iceland
76,0,India
77,0,Indonesia
78,2,Iraq
79,1,Ireland
80,0,Israel
81,1,Italy
82,0,Jamaica
83,1,Japan
84,0,Jordan
85,0,Kazakhstan
86,2,Kenya
87,2,Kiribati
88,0,Kosovo
89,0,Kuwait
90,0,Kyrgyz Republic
91,2,Lao PDR
92,0,Latvia
93,0,Lebanon
94,2,Lesotho
95,2,Liberia
96,0,Libya
97,0,Liechtenstein
98,0,Lithuania
99,1,Luxembourg
100,2,Madagascar
101,2,Malawi
102,0,Malaysia
103,0,Maldives
104,2,Mali
105,0,Malta
106,0,Marshall Islands
107,2,Mauritania
108,0,Mauritius
109,0,Mexico
110,0,Moldova
111,1,Monaco
112,0,Mongolia
113,0,Montenegro
114,0,Morocco
115,2,Mozambique
116,2,Myanmar
117,2,Namibia
118,0,Nepal
119,1,Netherlands
120,0,New Caledonia
121,1,New Zealand
122,0,Nicaragua
123,2,Niger
124,2,Nigeria
125,1,Norway
126,0,Oman
127,2,Pakistan
128,0,Palau
129,0,Panama
130,2,Papua New Guinea
131,0,Paraguay
132,0,Peru
133,0,Philippines
134,0,Poland
135,0,Portugal
136,0,Puerto Rico
137,1,Qatar
138,0,Romania
139,0,Russian Federation
140,2,Rwanda
141,0,Samoa
142,0,San Marino
143,0,Sao Tome and Principe
144,0,Saudi Arabia
145,2,Senegal
146,0,Serbia
147,0,Seychelles
148,2,Sierra Leone
149,1,Singapore
150,0,Slovak Republic
151,0,Slovenia
152,2,Solomon Islands
153,2,Somalia
154,0,South Africa
155,2,South Sudan
156,1,Spain
157,0,Sri Lanka
158,0,St. Kitts and Nevis
159,0,St. Lucia
160,0,St. Vincent and the Grenadines
161,2,Sudan
162,0,Suriname
163,2,Swaziland
164,1,Sweden
165,1,Switzerland
166,0,Syrian Arab Republic
167,2,Tajikistan
168,2,Tanzania
169,0,Thailand
170,2,Timor-Leste
171,2,Togo
172,0,Tonga
173,0,Trinidad and Tobago
174,0,Tunisia
175,0,Turkey
176,0,Turkmenistan
177,0,Tuvalu
178,2,Uganda
179,0,Ukraine
180,0,United Arab Emirates
181,1,United Kingdom
182,1,United States
183,0,Uruguay
184,0,Uzbekistan
185,2,Vanuatu
186,0,Vietnam
187,0,Virgin Islands (U.S.)
188,0,West Bank and Gaza
189,2,Zambia
190,2,Zimbabwe
