,Country,Value
0,Afghanistan,-1.331163168
1,Albania,-0.55289042
2,Algeria,-0.6144512892
3,American Samoa,1.2516881227
4,Andorra,1.2516881227
5,Angola,-1.4525977373
6,Anguilla,1.2516881227
7,Antigua and Barbuda,0.6772643328
8,Argentina,-0.5802031755
9,Armenia,-0.4408600628
10,Aruba,1.0266875029
11,Australia,1.8697878122
12,Austria,1.4374394417
13,Azerbaijan,-0.9206297398
14,Bahrain,0.2994612157
15,Bangladesh,-0.9104515314
16,Barbados,1.0289429426
17,Belarus,-0.3205564022
18,Belgium,1.5523976088
19,Belize,-0.1894752681
20,Benin,-0.7804293633
21,Bermuda,1.2516881227
22,Bhutan,1.2748022079
23,Bolivia,-0.6403183937
24,Bosnia and Herzegovina,-0.2818179131
25,Botswana,0.7992744446
26,Brazil,-0.3783107102
27,Brunei Darussalam,0.6334585547
28,Bulgaria,-0.2838941813
29,Burkina Faso,-0.5250025988
30,Burundi,-1.1933531761
31,Cabo Verde,0.9035270214
32,Cambodia,-1.0818625689
33,Cameroon,-1.153098464
34,Canada,1.8178489208
35,Cayman Islands,1.0266875029
36,Central African Republic,-1.1502263546
37,Chad,-1.2342145443
38,Chile,1.4772028923
39,China,-0.3303997815
40,Colombia,-0.3940579891
41,Comoros,-0.5304852724
42,Cook Islands,
43,Costa Rica,0.7293011546
44,Cote d'Ivoire,-0.4133066535
45,Croatia,0.1853884608
46,Cuba,0.0727723986
47,Cyprus,1.0663064718
48,Czech Republic,0.3172352016
49,Denmark,2.2613415718
50,Djibouti,-0.4923259914
51,Dominica,0.663967371
52,Dominican Republic,-0.7903527021
53,Ecuador,-0.8168849945
54,El Salvador,-0.3896435201
55,Equatorial Guinea,-1.836494565
56,Eritrea,-0.8612561226
57,Estonia,1.2680100203
58,Ethiopia,-0.4321534932
59,Fiji,-0.0289473515
60,Finland,2.1795957088
61,France,1.2738138437
62,French Guiana,1.0266875029
63,Gabon,-0.6363538504
64,Georgia,0.7420207262
65,Germany,1.829334259
66,Ghana,-0.2148661017
67,Greece,-0.2000882179
68,Greenland,1.1980569363
69,Grenada,0.2743095458
70,Guam,1.2516881227
71,Guatemala,-0.6992510557
72,Guinea,-1.0660699606
73,Guinea-Bissau,-1.5122668743
74,Guyana,-0.7328264117
75,Haiti,-1.2512249947
76,Honduras,-0.7857510448
77,Hungary,0.1308894008
78,Iceland,1.8202425241
79,India,-0.4638019204
80,Indonesia,-0.5769736767
81,Iraq,-1.3378279209
82,Ireland,1.6195203066
83,Israel,0.8246992826
84,Italy,-0.1100221351
85,Jamaica,-0.3887105286
86,Japan,1.7302787304
87,Jordan,0.1549544632
88,Kazakhstan,-0.7593994737
89,Kenya,-0.9425957799
90,Kiribati,0.3070609868
91,Kosovo,-0.4499563575
92,Kuwait,-0.2626726329
93,Kyrgyz Republic,-1.1058142185
94,Lao PDR,-0.7645111084
95,Latvia,0.3395408988
96,Lebanon,-1.0627948046
97,Lesotho,0.1488536
98,Liberia,-0.779686451
99,Libya,-1.6098834276
100,Liechtenstein,2.0792024136
101,Lithuania,0.4792081118
102,Luxembourg,2.0892348289
103,Madagascar,-0.8007061481
104,Malawi,-0.7602595687
105,Malaysia,0.4767865539
106,Maldives,-0.1129549667
107,Mali,-0.7185301781
108,Malta,0.8632954359
109,Marshall Islands,-0.0657560527
110,Martinique,1.2516881227
111,Mauritania,-0.9155790806
112,Mauritius,0.4479572475
113,Mexico,-0.7331860065
114,Moldova,-0.8456912041
115,Monaco,
116,Mongolia,-0.4699620903
117,Montenegro,-0.0103654014
118,Morocco,-0.2601982653
119,Mozambique,-0.702652812
120,Myanmar,-0.9218816161
121,Namibia,0.2342301756
122,Nauru,-0.3617959023
123,Nepal,-0.5440405011
124,Netherlands,1.9983686209
125,Netherlands Antilles,
126,New Caledonia,
127,New Zealand,2.2700541019
128,Nicaragua,-0.8849312067
129,Niger,-0.629819572
130,Nigeria,-1.2731497288
131,Niue,
132,Norway,2.2274167538
133,Oman,0.2505146861
134,Pakistan,-0.8134889603
135,Palau,-0.3617959023
136,Panama,-0.3552356958
137,Papua New Guinea,-0.9739660621
138,Paraguay,-0.9999883771
139,Peru,-0.5923326612
140,Philippines,-0.4422295988
141,Poland,0.5926586986
142,Portugal,0.8845670819
143,Puerto Rico,0.4890382886
144,Qatar,1.0925452709
145,Reunion,0.6772643328
146,Romania,-0.1377271712
147,Russian Federation,-0.871817112
148,Rwanda,0.8297951221
149,Samoa,0.3225485384
150,San Marino,
151,Sao Tome and Principe,-0.1573418528
152,Saudi Arabia,0.097481519
153,Senegal,0.0174699761
154,Serbia,-0.1921465844
155,Seychelles,0.3718262613
156,Sierra Leone,-0.9477457404
157,Singapore,2.1171958447
158,Slovak Republic,0.1169052795
159,Slovenia,0.6871952415
160,Solomon Islands,-0.2714532912
161,Somalia,-1.6871656179
162,South Africa,-0.1133142486
163,South Sudan,-1.6131962538
164,Spain,0.5260289311
165,Sri Lanka,-0.3377859592
166,St. Kitts and Nevis,0.2743095458
167,St. Lucia,0.4252634346
168,St. Vincent and the Grenadines,0.663967371
169,Sudan,-1.4469155073
170,Suriname,-0.6162042618
171,Swaziland,-0.3605306745
172,Sweden,2.1420390606
173,Switzerland,2.1890511513
174,Syrian Arab Republic,-1.5489554405
175,Tajikistan,-0.9965595603
176,Tanzania,-0.7960553169
177,Thailand,-0.405191958
178,Timor-Leste,-0.6490086317
179,Togo,-0.9236415029
180,Tonga,-0.2862088084
181,Trinidad and Tobago,-0.5784309506
182,Tunisia,-0.0930291489
183,Turkey,-0.1216823086
184,Turkmenistan,-1.2190400362
185,Tuvalu,0.035282135
186,Uganda,-1.097252965
187,Ukraine,-0.9951449037
