,Country,Value
0,Afghanistan,-1.4784978628
1,Albania,-0.3471868038
2,Algeria,-0.6118150949
3,American Samoa,0.4832222462
4,Andorra,1.5333528519
5,Angola,-1.0670632124
6,Anguilla,1.5333528519
7,Antigua and Barbuda,0.4832222462
8,Argentina,-0.1288421899
9,Armenia,-0.1610407978
10,Aruba,1.2708201408
11,Australia,1.7823104858
12,Austria,1.7716068029
13,Azerbaijan,-0.7634730339
14,Bahrain,0.4070910513
15,Bangladesh,-0.7066981792
16,Barbados,1.5957144499
17,Belarus,-1.1219120026
18,Belgium,1.3848189116
19,Belize,-0.5374519825
20,Benin,-0.4548119009
21,Bermuda,1.008287549
22,Bhutan,0.2188378274
23,Bolivia,-0.6066353917
24,Bosnia and Herzegovina,-0.592250526
25,Botswana,0.5589459538
26,Brazil,-0.0932857543
27,Brunei Darussalam,0.9112572074
28,Bulgaria,-0.0476441644
29,Burkina Faso,-0.4660587013
30,Burundi,-1.0943317413
31,Cabo Verde,0.0551499091
32,Cambodia,-0.9512152076
33,Cameroon,-0.7852237821
34,Canada,1.7745335102
35,Cayman Islands,1.2708201408
36,Central African Republic,-1.3984059095
37,Chad,-1.5395725965
38,Chile,1.169932723
39,China,0.1517636776
40,Colombia,-0.0313040763
41,Comoros,-1.772364378
42,Cook Islands,
43,Costa Rica,0.2670667768
44,Cote d'Ivoire,-1.2143894434
45,Croatia,0.5697819591
46,Cuba,-0.3599183857
47,Cyprus,1.5202007294
48,Czech Republic,1.0136129856
49,Denmark,2.243945837
50,Djibouti,-0.8845188618
51,Dominica,0.533141315
52,Dominican Republic,-0.6110014915
53,Ecuador,-0.8504785895
54,El Salvador,-0.1634473652
55,Equatorial Guinea,-1.6691070795
56,Eritrea,-1.2837024927
57,Estonia,1.1584857702
58,Ethiopia,-0.3713479936
59,Fiji,-0.7593701482
60,Finland,2.0356011391
61,France,1.5810793638
62,French Guiana,0.7457548976
63,Gabon,-0.8328875303
64,Georgia,0.2956643105
65,Germany,1.5217167139
66,Ghana,0.0219835434
67,Greece,0.5900033712
68,Greenland,
69,Grenada,0.2315383852
70,Guam,0.2206896245
71,Guatemala,-0.5634789467
72,Guinea,-1.172773242
73,Guinea-Bissau,-1.0572599173
74,Guyana,-0.167186901
75,Haiti,-1.2903035879
76,Honduras,-0.6205442548
77,Hungary,0.7139564753
78,Iceland,1.8111842871
79,India,-0.0298387036
80,Indonesia,-0.2387295961
81,Iraq,-1.2554625273
82,Ireland,1.4947725534
83,Israel,1.3340005875
84,Italy,0.2908522785
85,Jamaica,0.2938418388
86,Japan,1.4587504864
87,Jordan,0.2191993445
88,Kazakhstan,-0.4242583215
89,Kenya,-0.5873474479
90,Kiribati,-0.7261702418
91,Kosovo,-0.4989256561
92,Kuwait,0.0075578447
93,Kyrgyz Republic,-0.7667944431
94,Lao PDR,-0.8708034754
95,Latvia,0.5637065768
96,Lebanon,-0.4122959077
97,Lesotho,-0.3857064247
98,Liberia,-1.3146435022
99,Libya,-1.1551232338
100,Liechtenstein,1.7958854437
101,Lithuania,0.6201333404
102,Luxembourg,1.6122528315
103,Madagascar,-0.6346818805
104,Malawi,-0.5452079773
105,Malaysia,1.1551388502
106,Maldives,-0.2748885751
107,Mali,-0.7608523965
108,Malta,1.2868603468
109,Marshall Islands,-1.3082176447
110,Martinique,0.7457548976
111,Mauritania,-0.9472836256
112,Mauritius,0.7702268362
113,Mexico,0.184395954
114,Moldova,-0.7612561584
115,Monaco,
116,Mongolia,-0.5176943541
117,Montenegro,-0.0172210261
118,Morocco,-0.1739296019
119,Mozambique,-0.4957883656
120,Myanmar,-1.519426465
121,Namibia,0.199630186
122,Nauru,-0.4794660211
123,Nepal,-0.7589047551
124,Netherlands,1.6897137165
125,Netherlands Antilles,0.7457548976
126,New Caledonia,
127,New Zealand,1.6689816713
128,Nicaragua,-0.8940963149
129,Niger,-0.7090160251
130,Nigeria,-0.9672312737
131,Niue,
132,Norway,1.8415427208
133,Oman,0.4383718371
134,Pakistan,-0.7004970908
135,Palau,-0.641825676
136,Panama,0.1142854095
137,Papua New Guinea,-0.7097360492
138,Paraguay,-0.8661580086
139,Peru,-0.3572406769
140,Philippines,0.0252498854
141,Poland,0.4791235626
142,Portugal,1.0784283876
143,Puerto Rico,0.6259599924
144,Qatar,0.6136437654
145,Reunion,1.008287549
146,Romania,-0.3176849782
147,Russian Federation,-0.3439345062
148,Rwanda,-0.1356489509
149,Samoa,0.1477952003
150,San Marino,
151,Sao Tome and Principe,-0.6458238959
152,Saudi Arabia,-0.0731163472
153,Senegal,-0.1368798167
154,Serbia,-0.186064139
155,Seychelles,0.093551062
156,Sierra Leone,-1.1616686583
157,Singapore,2.4296514988
158,Slovak Republic,0.8699817061
159,Slovenia,1.1898844242
160,Solomon Islands,-1.0040457249
161,Somalia,-2.4500374794
162,South Africa,0.5181152225
163,South Sudan,
164,Spain,0.9191411138
165,Sri Lanka,-0.1209209412
166,St. Kitts and Nevis,0.6839427948
167,St. Lucia,0.6839427948
168,St. Vincent and the Grenadines,0.6839427948
169,Sudan,-1.2709077597
170,Suriname,-0.0470825881
171,Swaziland,-0.7424057722
172,Sweden,1.9405885935
173,Switzerland,2.0205817223
174,Syrian Arab Republic,-0.6225292087
175,Tajikistan,-1.0370852947
176,Tanzania,-0.478692472
177,Thailand,0.2533796728
178,Timor-Leste,-1.1454018354
179,Togo,-1.4689537287
180,Tonga,-0.4762715697
181,Trinidad and Tobago,0.171696499
182,Tunisia,0.3090180755
183,Turkey,0.262214005
184,Turkmenistan,-1.4277346134
185,Tuvalu,-0.6266694665
186,Uganda,-0.5744342804
187,Ukraine,-0.7079077959
188,United Arab Emirates,0.8816511631
189,United Kingdom,1.6447786093
190,United States,1.6026699543
191,Uruguay,0.5063869953
192,Uzbekistan,-0.8624998927
193,Vanuatu,-0.3309166133
194,Vietnam,-0.2029866725
195,Virgin Islands (U.S.),1.2708201408
196,West Bank and Gaza,-1.323695302
197,Zambia,-0.7292762399
198,Zimbabwe,-1.4973620176
