,Country,Value
0,Afghanistan,27.7
1,Albania,17.9
2,Algeria,31.6
3,American Samoa,
4,Andorra,50
5,Angola,34.1
6,Antigua and Barbuda,10.5
7,Arab World,17.49244456611
8,Argentina,
9,Armenia,10.7
10,Aruba,
11,Australia,26
12,Austria,33.3
13,Azerbaijan,16
14,"Bahamas, The",13.2
15,Bahrain,10
16,Bangladesh,19.7
17,Barbados,16.7
18,Belarus,26.6
19,Belgium,38
20,Belize,3.1
21,Benin,8.4
22,Bermuda,
23,Bhutan,6.4
24,Bolivia,25.4
25,Bosnia and Herzegovina,21.4
26,Botswana,7.9
27,Brazil,8.6
28,Brunei Darussalam,
29,Bulgaria,24.6
30,Burkina Faso,15.7
31,Burundi,30.5
32,Cabo Verde,20.8
33,Cambodia,20.3
34,Cameroon,31.1
35,Canada,24.7
36,Caribbean small states,17.0811235955056
37,Cayman Islands,
38,Central African Republic,
39,Central Europe and the Baltics,19.2011929247223
40,Chad,14.9
41,Channel Islands,
42,Chile,14.2
43,China,23.4
44,Colombia,12.1
45,Comoros,3
46,"Congo, Dem. Rep.",8.9
47,"Congo, Rep.",7.4
48,Costa Rica,38.6
49,Cote d'Ivoire,10.4
50,Croatia,23.8
51,Cuba,48.9
52,Curacao,
53,Cyprus,10.7
54,Czech Republic,19.5
55,Denmark,39.1
56,Djibouti,12.7
57,Dominica,12.5
58,Dominican Republic,20.8
59,East Asia & Pacific (all income levels),18.8518013033321
60,East Asia & Pacific (developing only),19.2656021767149
61,Ecuador,38.7
62,"Egypt, Arab Rep.",
63,El Salvador,26.2
64,Equatorial Guinea,12.1
65,Eritrea,22
66,Estonia,20.8
67,Ethiopia,27.8
68,Euro area,29.7672433679354
69,Europe & Central Asia (all income levels),24.6753349518928
70,Europe & Central Asia (developing only),18.1244656268053
71,European Union,27.0906547133931
72,Faroe Islands,
73,Fiji,
74,Finland,42.5
75,Fragile and conflict affected situations,15.6910508594719
76,France,26.9
77,French Polynesia,
78,Gabon,15.8
79,"Gambia, The",7.5
80,Georgia,12
81,Germany,36.5
82,Ghana,10.9
83,Greece,21
84,Greenland,
85,Grenada,33.3
86,Guam,
87,Guatemala,13.3
88,Guinea,
89,Guinea-Bissau,14
90,Guyana,31.3
91,Haiti,4.2
92,Heavily indebted poor countries (HIPC),21.7969413511507
93,High income,24.5005456899741
94,High income: nonOECD,16.9694161260426
95,High income: OECD,26.378541714814
96,Honduras,19.5
97,"Hong Kong SAR, China",
98,Hungary,8.8
99,Iceland,39.7
100,India,11
101,Indonesia,18.6
102,"Iran, Islamic Rep.",3.1
103,Iraq,25.2
104,Ireland,15.7
105,Isle of Man,
106,Israel,22.5
107,Italy,31.4
108,Jamaica,12.7
109,Japan,8.1
110,Jordan,12.2
111,Kazakhstan,24.3
112,Kenya,18.6
113,Kiribati,8.7
114,"Korea, Dem. People’s Rep.",15.6
115,"Korea, Rep.",15.7
116,Kosovo,
117,Kuwait,6.2
118,Kyrgyz Republic,23.3
119,Lao PDR,25
120,Latin America & Caribbean (all income levels),24.8102169525732
121,Latin America & Caribbean (developing only),26.2331199068685
122,Latvia,23
123,Least developed countries: UN classification,21.4936310223267
124,Lebanon,3.1
125,Lesotho,26.7
126,Liberia,11
127,Libya,16.5
128,Liechtenstein,20
129,Lithuania,24.1
130,Low & middle income,20.7037605720716
131,Low income,22.9635696088716
132,Lower middle income,16.291621504444
133,Luxembourg,23.3
134,"Macao SAR, China",
135,"Macedonia, FYR",34.1
136,Madagascar,17.5
137,Malawi,22.3
138,Malaysia,10.4
139,Maldives,6.5
140,Mali,10.2
141,Malta,14.3
142,Marshall Islands,3
143,Mauritania,22.1
144,Mauritius,18.8
145,Mexico,36.8
146,"Micronesia, Fed. Sts.",0
147,Middle East & North Africa (all income levels),15.9354265402844
148,Middle East & North Africa (developing only),16.4158426560808
149,Middle income,19.9814140639969
150,Moldova,19.8
151,Monaco,20.8
152,Mongolia,14.9
153,Montenegro,16
154,Morocco,17
155,Mozambique,39.2
156,Myanmar,6
157,Namibia,24.4
158,Nepal,33.2
159,Netherlands,38.7
160,New Caledonia,
161,New Zealand,32.2
162,Nicaragua,40.2
163,Niger,13.3
164,Nigeria,6.7
165,North America,20.734100135318
166,Northern Mariana Islands,
167,Norway,39.6
168,Not classified,
169,OECD members,26.2390331890332
170,Oman,1.2
171,Other small states,16.7442879499218
172,Pacific island small states,
173,Pakistan,20.7
174,Palau,0
175,Panama,8.5
176,Papua New Guinea,2.7
177,Paraguay,17.5
178,Peru,21.5
179,Philippines,27.1
180,Poland,23.7
181,Portugal,28.7
182,Puerto Rico,
183,Qatar,0
184,Romania,13.3
185,Russian Federation,13.6
186,Rwanda,63.8
187,Samoa,4.1
188,San Marino,18.3
189,Sao Tome and Principe,18.2
190,Saudi Arabia,19.9
191,Senegal,42.7
192,Serbia,33.2
193,Seychelles,43.8
194,Sierra Leone,12.4
195,Singapore,24.2
196,Sint Maarten (Dutch part),
197,Slovak Republic,18.7
198,Slovenia,32.2
199,Small states,14.8083415597236
200,Solomon Islands,2
201,Somalia,13.8
202,South Africa,42.3
203,South Asia,20.0417012448133
204,South Sudan,26.5
205,Spain,36
206,Sri Lanka,5.8
207,St. Kitts and Nevis,6.7
208,St. Lucia,16.7
209,St. Martin (French part),
210,St. Vincent and the Grenadines,13
211,Sub-Saharan Africa (all income levels),22.2514504525412
212,Sub-Saharan Africa (developing only),22.2886178861789
213,Sudan,24.6
214,Suriname,11.8
215,Swaziland,6.2
216,Sweden,44.7
217,Switzerland,29
218,Syrian Arab Republic,12
219,Tajikistan,19
220,Tanzania,36
221,Thailand,15.8
222,Timor-Leste,38.5
223,Togo,15.4
224,Tonga,3.6
225,Trinidad and Tobago,28.6
226,Tunisia,26.7
227,Turkey,14.4
228,Turkmenistan,16.8
229,Turks and Caicos Islands,
230,Tuvalu,6.7
231,Uganda,35
232,Ukraine,9.4
233,United Arab Emirates,17.5
234,United Kingdom,22.5
235,United States,17.9
236,Upper middle income,22.9034763948498
237,Uruguay,12.1
238,Uzbekistan,22
239,Vanuatu,0
240,"Venezuela, RB",17
241,Vietnam,24.4
242,Virgin Islands (U.S.),
243,West Bank and Gaza,
244,World,21.7738797215922
245,"Yemen, Rep.",0.3
246,Zambia,11.5
247,Zimbabwe,31.5
248,,
249,,
250,,
251,Data from database: World Development Indicators,
252,Last Updated: 04/11/2016,
